,Week,AdvertisingSpend,CompetitorPrice,UnitCost,PriceLevel,SeasonIndex,Sales
0,1,152,92,93,140,0.5804166914159903,414
1,2,229,147,84,101,0.24912799116818812,441
2,3,142,93,94,168,0.38511050567672495,324
3,4,64,90,75,184,0.4964193195515869,343
4,5,156,135,61,144,0.9864523631945087,530
5,6,121,146,119,167,0.3495583495445821,352
6,7,238,108,83,100,0.6295920921181647,583
7,8,70,88,69,115,0.7722943038949031,277
8,9,152,146,97,131,0.3691032780662926,453
9,10,171,104,81,116,0.6601737877110119,482
10,11,260,121,85,100,1.2849442656103331,544
11,12,264,88,102,127,1.2207729229970892,462
12,13,124,119,114,187,1.2811200625306094,390
13,14,252,104,98,132,0.8159818073386336,584
14,15,137,84,86,108,0.8312332453904012,440
15,16,166,90,88,153,0.39859659417400506,363
16,17,149,138,106,95,1.1650363883481027,481
17,18,153,117,97,135,1.1519795465234852,565
18,19,201,84,79,191,1.0736870381317838,508
19,20,180,127,86,131,1.144350034283967,542
20,21,199,97,100,181,0.6946973247781275,509
21,22,102,149,113,154,0.9317877230077767,418
22,23,51,116,79,188,0.29446250429517234,267
23,24,137,139,103,193,-0.2907874452141074,244
24,25,285,127,78,161,0.3787540834273584,502
25,26,207,107,79,148,-0.5411667378026089,339
26,27,87,148,94,141,-0.06947606540731324,367
27,28,179,119,106,136,0.047281476349719215,447
28,29,241,124,61,96,-0.2573272482319765,500
29,30,237,141,89,100,0.21874974913091455,434
30,31,70,137,112,192,-1.1578434449752488,270
31,32,210,146,93,150,-0.6879808600015695,391
32,33,253,135,81,157,-0.7432741085953043,484
33,34,107,119,62,114,-1.2262147107483803,294
34,35,71,119,65,101,-1.2315758628704954,288
35,36,285,112,74,115,-1.1885548259333947,475
36,37,138,85,86,191,-1.3008360056408308,198
37,38,98,98,69,199,-1.0251072691472143,319
38,39,268,119,68,101,-1.1808894700456478,359
39,40,108,138,92,132,-0.8973363588693515,237
40,41,219,138,91,140,-0.7761126775651334,478
41,42,269,127,107,126,-0.7604825547697481,473
42,43,237,120,65,135,-1.008493899208637,567
43,44,257,92,100,142,-0.7376411770543154,427
44,45,64,124,118,177,-0.4379720733180812,322
45,46,239,132,95,169,-0.5294532838575485,313
46,47,239,121,118,102,-0.010371438398129929,384
47,48,224,142,119,178,-0.17006947601376204,441
48,49,239,106,61,143,0.16091723475200242,420
49,50,100,117,88,146,-0.9870186026665771,260
